"shortName","ACCESS_CM2","BCC.CSM2.MR","CMCC.CM2.SR5","EC.Earth3_r1i1p1f1","EC.Earth3_r3i1p1f1","EC.Earth3_r4i1p1f1","HadGEM3.GC31.LL","HadGEM3.GC31.MM","MIROC6","MPI.ESM1.2.HR_r1i1p1f1","MPI.ESM1.2.HR_r2i1p1f1","MPI.ESM1.2.LR","MRI.ESM2.0","Average"
"HL",-0.0276544447988272,-0.0275172553956509,-0.0227321684360504,-0.0276097450405359,-0.0242237392812967,-0.0233308225870132,-0.020839748904109,-0.0274587050080299,-0.0296544600278139,-0.0251606516540051,-0.026116069406271,-0.0325648263096809,-0.0285827964544296,-0.0264188794849011
"NC",-0.0109772076830268,-0.0109599037095904,-0.00931830797344446,-0.00926765706390142,-0.00882456358522177,-0.0087962131947279,-0.00824428722262383,-0.00938263535499573,-0.0127514526247978,-0.00983770657330751,-0.00939351692795753,-0.0118443286046386,-0.0107389260083437,-0.0100259005020444
"NG",-0.00333438836969435,-0.00347380712628365,-0.00275215553119779,-0.00308133312501013,-0.00289697665721178,-0.00297560985200107,-0.00247890152968466,-0.0029655669350177,-0.00388991623185575,-0.00289406743831933,-0.00279958406463265,-0.00360193802043796,-0.0034222356043756,-0.00312049849890172
"PG",-0.0312415938824415,-0.0362708754837513,-0.0261914450675249,-0.030112000182271,-0.0293518118560314,-0.0307323448359966,-0.021766435354948,-0.0277697872370481,-0.0445374175906181,-0.0294165890663862,-0.0316626280546188,-0.0342018455266953,-0.0355439521372318,-0.031446055867351
"EU",-0.0474014095962048,-0.044921200722456,-0.0373033694922924,-0.0431957617402077,-0.0382425487041473,-0.0382217541337013,-0.036128792911768,-0.0448647998273373,-0.0528270974755287,-0.0399675853550434,-0.0400324612855911,-0.0475368350744247,-0.0458432361483574,-0.0428066809590046
"SS",-0.057105153799057,-0.0578892193734646,-0.0422311276197433,-0.0491613782942295,-0.0456193499267101,-0.0477330610156059,-0.0441565215587616,-0.0501236990094185,-0.0701102167367935,-0.046685341745615,-0.0496603436768055,-0.0518416501581669,-0.0563316345214844,-0.0514345151873735
"FR",-0.108997344970703,-0.113827519118786,-0.0939087346196175,-0.107188664376736,-0.108777530491352,-0.109355702996254,-0.0833035707473755,-0.100146427750587,-0.14319421350956,-0.101343393325806,-0.105949424207211,-0.107358165085316,-0.120966605842113,-0.108024407464724
"BR",-0.00450493022799492,-0.0044964924454689,-0.00383639801293612,-0.00425776420161128,-0.00397542072460055,-0.00392036326229572,-0.00323951779864728,-0.00417104689404368,-0.00510147633031011,-0.00394418695941567,-0.00407384475693107,-0.00484854495152831,-0.0045638270676136,-0.00422567797179979
"MP",-0.032493818551302,-0.0317579321563244,-0.0240331757813692,-0.0278208181262016,-0.0264018420130014,-0.0262159984558821,-0.0239196848124266,-0.0295897871255875,-0.0382620468735695,-0.0256612487137318,-0.027150759473443,-0.0287988241761923,-0.0315260849893093,-0.0287409247114108
