"shortName","ACCESS_CM2","BCC.CSM2.MR","CMCC.CM2.SR5","EC.Earth3_r1i1p1f1","EC.Earth3_r3i1p1f1","EC.Earth3_r4i1p1f1","HadGEM3.GC31.LL","HadGEM3.GC31.MM","MIROC6","MPI.ESM1.2.HR_r1i1p1f1","MPI.ESM1.2.HR_r2i1p1f1","MPI.ESM1.2.LR","MRI.ESM2.0","Average"
"HL",-0.0962939634919167,-0.0931433215737343,-0.0822023749351501,-0.0936853960156441,-0.0817128419876099,-0.0818778425455093,-0.0718066245317459,-0.0908991992473602,-0.1024254783988,-0.0893342792987823,-0.0875103324651718,-0.113917551934719,-0.0979247689247131,-0.0909795365654505
"NC",-0.112399823963642,-0.105896197259426,-0.1005584821105,-0.105304881930351,-0.0971756279468536,-0.102006465196609,-0.0826846286654472,-0.101095944643021,-0.127036467194557,-0.10150720924139,-0.0963888540863991,-0.127659991383553,-0.110898911952972,-0.105431806582671
"NG",-0.0651619359850883,-0.0634796395897865,-0.0521328113973141,-0.0543504469096661,-0.0482956692576408,-0.0544037409126759,-0.0468709319829941,-0.0513462945818901,-0.0711865201592445,-0.0516425110399723,-0.0507788360118866,-0.0666041001677513,-0.0593506395816803,-0.0565849290444301
"PG",-0.124885313212872,-0.135660424828529,-0.0981865078210831,-0.121430121362209,-0.107815787196159,-0.110587045550346,-0.085655115544796,-0.109434857964516,-0.151978433132172,-0.111070193350315,-0.118707358837128,-0.143845051527023,-0.135916203260422,-0.119628647199044
"EU",-0.188988223671913,-0.190640687942505,-0.142088174819946,-0.174126163125038,-0.157287836074829,-0.153199851512909,-0.137755081057549,-0.17787903547287,-0.218618750572205,-0.157023459672928,-0.172730252146721,-0.200268462300301,-0.191186890006065,-0.173984066798137
"SS",-0.232361346483231,-0.233074486255646,-0.182508185505867,-0.197749823331833,-0.194011881947517,-0.191985428333282,-0.192104622721672,-0.2235167324543,-0.275057107210159,-0.20364286005497,-0.201814875006676,-0.216560751199722,-0.225830018520355,-0.213093701463479
"FR",-0.250786632299423,-0.253592908382416,-0.219727277755737,-0.221976578235626,-0.22975018620491,-0.232299953699112,-0.198981404304504,-0.216715544462204,-0.302549719810486,-0.227852940559387,-0.210989251732826,-0.238933026790619,-0.244776695966721,-0.23453324001569
"BR",-0.0767691656947136,-0.0774809569120407,-0.06002102419734,-0.061900295317173,-0.0609526224434376,-0.0654213055968285,-0.0586725063621998,-0.064757414162159,-0.0851443186402321,-0.0647668093442917,-0.0572601668536663,-0.071583516895771,-0.0736903175711632,-0.0675708015377705
"MP",-0.368614435195923,-0.354701459407806,-0.273208469152451,-0.318742364645004,-0.306459754705429,-0.300287246704102,-0.26807501912117,-0.337998449802399,-0.417826563119888,-0.289386719465256,-0.310944437980652,-0.328475952148438,-0.364137798547745,-0.326066051538174
