"Short","before","after","change","pctchange"
"BR",46247055.4765905,46011412.0237975,-235643.452793006,-0.509531796921186
"EU",32648568.2189208,32714646.6544881,66078.4355672134,0.202393057864389
"FR",759193864.44176,760810218.269532,1616353.82777167,0.212903963463954
"HL",462672737.794637,464495746.984606,1823009.18996879,0.394016988910634
"MP",99368132.6851193,101448321.696868,2080189.01174899,2.09341662718042
"NC",245422916.810089,244825258.669935,-597658.140153811,-0.243521732983191
"NG",80376912.9504776,80284259.4175119,-92653.5329656827,-0.115273813791252
"PG",141629015.316999,142373723.09699,744707.779990938,0.525815828292022
"SS",58690337.0535458,59368730.9756511,678393.922105386,1.15588690773144
