"Short","before","after","change","pctchange"
"BR",16141098.6322304,16105196.5048751,-35902.127355373,-0.222426788742146
"EU",10719015.3391473,10638477.022403,-80538.3167442972,-0.751359282509475
"FR",200876224.243453,198942918.674393,-1933305.56906001,-0.96243623472181
"HL",329615642.96256,328674493.294109,-941149.668450574,-0.285529430579087
"MP",38626253.282547,38158044.2988127,-468208.983734302,-1.21215221240694
"NC",79491444.1865962,79168237.617641,-323206.568955216,-0.40659290098759
"NG",58793272.5262521,58703677.6102779,-89594.915974184,-0.152389741418424
"PG",92978397.9253294,92588118.4304688,-390279.494860618,-0.419752871171255
"SS",22920705.7450563,22710195.3743105,-210510.370745724,-0.918428834989633
