"Short","before","after","change","pctchange"
"BR",2314571448.80795,2312600785.84069,-1970662.96726947,-0.0851415914719049
"EU",1702947849.72084,1699224923.5477,-3722926.1731376,-0.218616569717503
"FR",24279844382.0488,24206388920.314,-73455461.7348106,-0.302536789688482
"HL",54996733628.2707,54940415316.7484,-56318311.5223113,-0.10240301160969
"MP",5211019719.60318,5189246772.67963,-21772946.9235516,-0.41782507254088
"NC",12091838113.2235,12076478900.7921,-15359212.4313574,-0.127021320394305
"NG",9242550781.12781,9235971352.11881,-6579429.00900371,-0.0711862900709077
"PG",14612889069.8695,14590680976.7336,-22208093.1359051,-0.151976060515627
"SS",3427825050.53049,3418396778.0325,-9428272.49799063,-0.275051158066876
