"shortName","ACCESS_CM2","BCC.CSM2.MR","CMCC.CM2.SR5","EC.Earth3_r1i1p1f1","EC.Earth3_r3i1p1f1","EC.Earth3_r4i1p1f1","HadGEM3.GC31.LL","HadGEM3.GC31.MM","MIROC6","MPI.ESM1.2.HR_r1i1p1f1","MPI.ESM1.2.HR_r2i1p1f1","MPI.ESM1.2.LR","MRI.ESM2.0","Average"
"HL",-0.27173313498497,-0.260617941617966,-0.230350196361542,-0.266099214553833,-0.229010283946991,-0.226563766598701,-0.201788932085037,-0.262670695781708,-0.285816967487335,-0.250170469284058,-0.249060407280922,-0.327956199645996,-0.278184980154037,-0.256924860752546
"NC",-0.354788333177567,-0.334372758865356,-0.326450198888779,-0.334502637386322,-0.322716116905212,-0.323214828968048,-0.266221553087234,-0.341584622859955,-0.407265305519104,-0.333021640777588,-0.312636584043503,-0.416096717119217,-0.35533806681633,-0.340631489570324
"NG",-0.143827676773071,-0.139929935336113,-0.111794523894787,-0.116827078163624,-0.100057147443295,-0.116363570094109,-0.100264154374599,-0.109418205916882,-0.152424886822701,-0.10795433819294,-0.107770554721355,-0.147860899567604,-0.129128277301788,-0.121817019123298
"PG",-0.332714021205902,-0.374031871557236,-0.264134913682938,-0.327510595321655,-0.291654825210571,-0.302521497011185,-0.225264012813568,-0.291150867938995,-0.422404766082764,-0.298414647579193,-0.322633355855942,-0.389920949935913,-0.37173593044281,-0.324160942664513
"EU",-0.649012088775635,-0.639750838279724,-0.498857349157333,-0.586497724056244,-0.546548783779144,-0.51762181520462,-0.488952219486237,-0.633475124835968,-0.754660665988922,-0.555299818515778,-0.592054069042206,-0.705395698547363,-0.65146678686142,-0.601507152502353
"SS",-0.785426080226898,-0.782485485076904,-0.608857035636902,-0.660661160945892,-0.648839175701141,-0.643771409988403,-0.65237820148468,-0.749494910240173,-0.922601342201233,-0.688034534454346,-0.680873572826385,-0.731616258621216,-0.75363677740097,-0.716051995754242
"FR",-0.804664433002472,-0.80616682767868,-0.705278754234314,-0.726210117340088,-0.74891722202301,-0.759723544120789,-0.643499791622162,-0.69344961643219,-0.972081542015076,-0.748570799827576,-0.686936318874359,-0.753756821155548,-0.783860743045807,-0.756393579336313
"BR",-0.200812712311745,-0.205445811152458,-0.157464146614075,-0.161315426230431,-0.157688662409782,-0.169365465641022,-0.150422900915146,-0.169124841690063,-0.222624212503433,-0.167487621307373,-0.14825265109539,-0.191350400447845,-0.193336084485054,-0.176514687446447
"MP",-1.08738303184509,-1.04283559322357,-0.795376300811768,-0.934707760810852,-0.897274255752563,-0.873334288597107,-0.786831378936768,-0.999326467514038,-1.21587610244751,-0.835502803325653,-0.909774601459503,-0.962834477424622,-1.06905913352966,-0.954624322744516
