"Short","before","after","change","pctchange"
"BR",4809806.99374806,4809561.62074994,-245.372998123983,-0.00510151443587928
"EU",2041217.99638309,2040139.67206433,-1078.3243187531,-0.0528274942051175
"FR",13171083.1952058,13152223.5087595,-18859.6864463215,-0.143190094290703
"HL",51500237.7966028,51484965.6967264,-15272.0998763301,-0.029654425940023
"MP",9445997.91016802,9442383.68416991,-3614.22599810672,-0.038261981767081
"NC",14529000.199154,14527147.5588953,-1852.64025876819,-0.0127513265425961
"NG",25611538.3929685,25610542.1340069,-996.258961565173,-0.00388988332633432
"PG",31692559.498515,31678444.5720876,-14114.9264273496,-0.0445370353505555
"SS",6043944.09821089,6039706.69698679,-4237.40122410722,-0.0701098679149237
